station,date,PM 2.5,PM 10,TSP,,,,,,,,,,,,,,,
Bhimdatta,1/1/2021,108.76,153.01,218.05,,,,,,,,,,,,,,,
Bhimdatta,1/2/2021,86.04,141.10,196.07,,,,,,,,,,,,,,,
Bhimdatta,1/3/2021,143.80,202.20,231.40,,,,,,,,,,,,,,,
Bhimdatta,1/4/2021,143.80,202.20,231.40,,,,,,,,,,,,,,,
Bhimdatta,1/5/2021,97.80,142.74,196.39,,,,,,,,,,,,,,,
Bhimdatta,1/6/2021,29.11,51.35,137.47,,,,,,,,,,,,,,,
Bhimdatta,1/7/2021,44.78,64.39,109.72,,,,,,,,,,,,,,,
Bhimdatta,1/8/2021,63.68,75.42,103.35,,,,,,,,,,,,,,,
Bhimdatta,1/9/2021,78.96,96.26,130.15,,,,,,,,,,,,,,,
Bhimdatta,1/10/2021,83.71,101.61,138.94,,,,,,,,,,,,,,,
Bhimdatta,1/11/2021,63.60,73.41,87.49,,,,,,,,,,,,,,,
Bhimdatta,1/12/2021,67.78,80.13,99.92,,,,,,,,,,,,,,,
Bhimdatta,1/13/2021,70.76,86.90,113.53,,,,,,,,,,,,,,,
Bhimdatta,1/14/2021,83.09,97.82,118.85,,,,,,,,,,,,,,,
Bhimdatta,1/15/2021,92.67,112.99,142.05,,,,,,,,,,,,,,,
Bhimdatta,1/16/2021,77.82,92.42,114.16,,,,,,,,,,,,,,,
Bhimdatta,1/17/2021,131.93,154.62,185.50,,,,,,,,,,,,,,,
Bhimdatta,1/18/2021,71.77,103.05,153.97,,,,,,,,,,,,,,,
Bhimdatta,1/19/2021,74.05,104.47,147.89,,,,,,,,,,,,,,,
Bhimdatta,1/20/2021,82.94,99.66,123.50,,,,,,,,,,,,,,,
Bhimdatta,1/21/2021,68.53,75.90,82.28,,,,,,,,,,,,,,,
Bhimdatta,1/22/2021,62.20,78.38,102.41,,,,,,,,,,,,,,,
Bhimdatta,1/24/2021,65.11,72.29,81.74,,,,,,,,,,,,,,,
Bhimdatta,1/25/2021,64.54,76.03,94.63,,,,,,,,,,,,,,,
Bhimdatta,2/8/2021,103.10,181.46,352.82,,,,,,,,,,,,,,,
Bhimdatta,2/9/2021,107.20,180.79,348.78,,,,,,,,,,,,,,,
Bhimdatta,2/10/2021,121.32,211.58,346.93,,,,,,,,,,,,,,,
Bhimdatta,2/11/2021,133.89,228.91,391.57,,,,,,,,,,,,,,,
Bhimdatta,2/12/2021,135.41,192.17,289.11,,,,,,,,,,,,,,,
Bhimdatta,2/13/2021,142.10,211.53,321.94,,,,,,,,,,,,,,,
Bhimdatta,2/14/2021,137.42,219.04,396.58,,,,,,,,,,,,,,,
Bhimdatta,2/15/2021,110.21,215.92,371.01,,,,,,,,,,,,,,,
Bhimdatta,2/16/2021,88.79,198.97,386.91,,,,,,,,,,,,,,,
Bhimdatta,2/17/2021,99.62,179.84,324.06,,,,,,,,,,,,,,,
Bhimdatta,2/18/2021,92.50,196.52,386.88,,,,,,,,,,,,,,,
Bhimdatta,2/19/2021,105.23,199.79,390.99,,,,,,,,,,,,,,,
Bhimdatta,2/20/2021,113.90,219.89,372.29,,,,,,,,,,,,,,,
Bhimdatta,2/21/2021,104.43,171.97,319.32,,,,,,,,,,,,,,,
Bhimdatta,2/22/2021,111.13,147.15,230.30,,,,,,,,,,,,,,,
Bhimdatta,2/23/2021,119.00,162.03,270.86,,,,,,,,,,,,,,,
Bhimdatta,2/24/2021,108.72,148.62,246.55,,,,,,,,,,,,,,,
Bhimdatta,2/25/2021,67.00,134.79,390.53,,,,,,,,,,,,,,,
Bhimdatta,2/26/2021,61.06,105.69,256.33,,,,,,,,,,,,,,,
Bhimdatta,2/27/2021,43.13,72.86,200.75,,,,,,,,,,,,,,,
Bhimdatta,2/28/2021,49.66,155.57,488.66,,,,,,,,,,,,,,,
Bhimdatta,3/1/2021,51.49,139.09,428.79,,,,,,,,,,,,,,,
Bhimdatta,3/2/2021,81.04,113.53,226.56,,,,,,,,,,,,,,,
Bhimdatta,3/3/2021,79.56,109.50,229.11,,,,,,,,,,,,,,,
Bhimdatta,3/4/2021,71.39,107.64,225.73,,,,,,,,,,,,,,,
Bhimdatta,3/5/2021,53.20,128.09,364.42,,,,,,,,,,,,,,,
Bhimdatta,3/6/2021,60.75,99.70,213.27,,,,,,,,,,,,,,,
Bhimdatta,3/7/2021,66.01,123.41,326.08,,,,,,,,,,,,,,,
Bhimdatta,3/8/2021,50.81,91.39,230.35,,,,,,,,,,,,,,,
Bhimdatta,3/9/2021,45.62,110.72,278.08,,,,,,,,,,,,,,,
Bhimdatta,3/10/2021,48.67,118.90,359.21,,,,,,,,,,,,,,,
Bhimdatta,3/11/2021,34.87,106.21,291.14,,,,,,,,,,,,,,,
Bhimdatta,3/12/2021,54.91,130.74,342.02,,,,,,,,,,,,,,,
Bhimdatta,3/13/2021,47.21,105.28,270.53,,,,,,,,,,,,,,,
Bhimdatta,3/14/2021,35.09,103.42,367.89,,,,,,,,,,,,,,,
Bhimdatta,3/15/2021,37.53,112.96,332.82,,,,,,,,,,,,,,,
Bhimdatta,3/16/2021,41.55,124.22,345.97,,,,,,,,,,,,,,,
Bhimdatta,3/17/2021,49.06,136.05,360.39,,,,,,,,,,,,,,,
Bhimdatta,3/18/2021,46.01,140.65,337.00,,,,,,,,,,,,,,,
Bhimdatta,3/19/2021,49.03,160.75,405.99,,,,,,,,,,,,,,,
Bhimdatta,3/20/2021,40.32,105.36,256.84,,,,,,,,,,,,,,,
Bhimdatta,3/27/2021,53.66,118.85,263.71,,,,,,,,,,,,,,,
Bhimdatta,3/28/2021,57.57,122.06,241.45,,,,,,,,,,,,,,,
Bhimdatta,3/29/2021,50.20,111.05,233.27,,,,,,,,,,,,,,,
Bhimdatta,10/8/2021,52.62,96.84,226.48,,,,,,,,,,,,,,,
Bhimdatta,10/9/2021,54.26,94.45,189.22,,,,,,,,,,,,,,,
Bhimdatta,10/10/2021,58.34,109.74,252.45,,,,,,,,,,,,,,,
Bhimdatta,10/11/2021,56.57,114.61,261.36,,,,,,,,,,,,,,,
Bhimdatta,10/12/2021,46.75,98.06,226.04,,,,,,,,,,,,,,,
Bhimdatta,10/13/2021,39.23,87.44,225.12,,,,,,,,,,,,,,,
Bhimdatta,10/14/2021,38.13,72.87,151.15,,,,,,,,,,,,,,,
Bhimdatta,10/15/2021,30.88,58.70,116.10,,,,,,,,,,,,,,,
Bhimdatta,10/16/2021,32.14,68.69,154.23,,,,,,,,,,,,,,,
Bhimdatta,10/17/2021,18.95,57.84,166.97,,,,,,,,,,,,,,,
Bhimdatta,10/18/2021,4.41,4.89,5.21,,,,,,,,,,,,,,,
Bhimdatta,10/19/2021,3.05,3.42,3.55,,,,,,,,,,,,,,,
Bhimdatta,10/21/2021,32.79,48.14,93.43,,,,,,,,,,,,,,,
Bhimdatta,10/22/2021,71.78,97.60,164.64,,,,,,,,,,,,,,,
Bhimdatta,10/23/2021,80.08,121.17,212.68,,,,,,,,,,,,,,,
Bhimdatta,10/24/2021,51.24,99.90,279.82,,,,,,,,,,,,,,,
Bhimdatta,10/25/2021,47.72,104.49,329.14,,,,,,,,,,,,,,,
Bhimdatta,10/26/2021,54.29,104.21,268.55,,,,,,,,,,,,,,,
Bhimdatta,10/27/2021,47.93,89.02,231.94,,,,,,,,,,,,,,,
Bhimdatta,10/28/2021,48.68,93.17,247.26,,,,,,,,,,,,,,,
Bhimdatta,10/31/2021,63.83,123.95,294.60,,,,,,,,,,,,,,,
Bhimdatta,11/1/2021,76.19,141.69,283.62,,,,,,,,,,,,,,,
Bhimdatta,11/2/2021,73.08,164.86,370.89,,,,,,,,,,,,,,,
Bhimdatta,11/3/2021,89.83,172.00,379.87,,,,,,,,,,,,,,,
Bhimdatta,11/4/2021,69.54,119.59,221.53,,,,,,,,,,,,,,,
Bhimdatta,11/5/2021,73.43,125.94,223.68,,,,,,,,,,,,,,,
Bhimdatta,11/6/2021,67.46,104.29,170.61,,,,,,,,,,,,,,,
Bhimdatta,11/7/2021,73.57,117.54,202.44,,,,,,,,,,,,,,,
Bhimdatta,11/8/2021,67.94,122.52,270.81,,,,,,,,,,,,,,,
Bhimdatta,11/9/2021,57.76,115.62,238.40,,,,,,,,,,,,,,,
Bhimdatta,11/10/2021,59.87,108.71,220.74,,,,,,,,,,,,,,,
Bhimdatta,11/11/2021,86.65,146.59,282.74,,,,,,,,,,,,,,,
Bhimdatta,11/12/2021,89.44,144.61,265.38,,,,,,,,,,,,,,,
Bhimdatta,11/13/2021,83.53,144.66,260.96,,,,,,,,,,,,,,,
Bhimdatta,11/14/2021,96.47,169.48,331.25,,,,,,,,,,,,,,,
Dhangadi,2/8/2021,119.1,145.9,222.1,,,,,,,,,,,,,,,
Dhangadi,2/9/2021,122.7,143,213,,,,,,,,,,,,,,,
Dhangadi,2/18/2021,115.3,255.7,456.2,,,,,,,,,,,,,,,
Dhangadi,2/19/2021,133.2,278.3,521.8,,,,,,,,,,,,,,,
Dhangadi,2/20/2021,120.4,231,414.1,,,,,,,,,,,,,,,
Dhangadi,2/21/2021,126.1,207.9,331.5,,,,,,,,,,,,,,,
Dhangadi,2/22/2021,139.5,211.6,338.6,,,,,,,,,,,,,,,
Dhangadi,2/23/2021,151.4,226.1,382.7,,,,,,,,,,,,,,,
Dhangadi,2/24/2021,156.8,235.9,565.6,,,,,,,,,,,,,,,
Dhangadi,2/25/2021,134.1,261,,,,,,,,,,,,,,,,
Dhangadi,2/26/2021,128,244.3,518.4,,,,,,,,,,,,,,,
Dhangadi,2/27/2021,85.7,189.2,465.7,,,,,,,,,,,,,,,
Dhangadi,2/28/2021,69.9,219.9,595.9,,,,,,,,,,,,,,,
Dhangadi,3/1/2021,85.7,244.3,710.6,,,,,,,,,,,,,,,
Dhangadi,3/2/2021,118.3,236.5,427,,,,,,,,,,,,,,,
Dhangadi,3/3/2021,120.6,284.3,546.1,,,,,,,,,,,,,,,
Dhangadi,3/4/2021,112.4,254.1,482.1,,,,,,,,,,,,,,,
Dhangadi,3/5/2021,92.7,215.2,506.3,,,,,,,,,,,,,,,
Dhangadi,3/6/2021,103.3,214.8,391.8,,,,,,,,,,,,,,,
Dhangadi,3/7/2021,93.8,214.8,481.3,,,,,,,,,,,,,,,
Dhangadi,3/8/2021,87.1,207,426.3,,,,,,,,,,,,,,,
Dhangadi,3/9/2021,92.4,196.3,375,,,,,,,,,,,,,,,
Dhangadi,3/10/2021,83.8,180.9,407.6,,,,,,,,,,,,,,,
Dhangadi,3/11/2021,69.7,191,378,,,,,,,,,,,,,,,
Dhangadi,3/12/2021,87.3,192.1,408,,,,,,,,,,,,,,,
Dhangadi,3/13/2021,99.7,174.4,305.3,,,,,,,,,,,,,,,
Dhangadi,3/14/2021,105.5,238.9,486.5,,,,,,,,,,,,,,,
Dhangadi,3/15/2021,97.2,201,395.8,,,,,,,,,,,,,,,
Dhangadi,3/16/2021,128,317.7,575.8,,,,,,,,,,,,,,,
Dhangadi,3/17/2021,146.1,328.6,522.1,,,,,,,,,,,,,,,
Dhangadi,3/18/2021,128,292.8,506.7,,,,,,,,,,,,,,,
Dhangadi,3/19/2021,112.9,260.9,521.9,,,,,,,,,,,,,,,
