station,particulate_matter ,datetime,value
Bhaktapur,PM1,2019-06-20T08:49:00Z,2.9
Bhaktapur,PM1,2019-06-20T08:59:00Z,3.0
Bhaktapur,PM1,2019-06-20T09:09:00Z,3.2
Bhaktapur,PM1,2019-06-20T09:19:00Z,2.9
Bhaktapur,PM1,2019-06-20T09:29:00Z,2.6
Bhaktapur,PM1,2019-06-20T09:39:00Z,2.9
Bhaktapur,PM1,2019-06-20T09:49:00Z,2.7
Bhaktapur,PM1,2019-06-20T10:09:00Z,3.0
Bhaktapur,PM1,2019-06-20T10:19:00Z,2.7
Bhaktapur,PM1,2019-06-20T10:29:00Z,2.6
Bhaktapur,PM1,2019-06-20T10:39:00Z,2.8
Bhaktapur,PM1,2019-06-20T10:49:00Z,3.0
Bhaktapur,PM1,2019-06-20T10:59:00Z,3.1
Bhaktapur,PM1,2019-06-20T11:09:00Z,2.9
Bhaktapur,PM1,2019-06-20T11:19:00Z,2.5
Bhaktapur,PM1,2019-06-20T11:29:00Z,3.0
Bhaktapur,PM1,2019-06-20T11:39:00Z,2.9
Bhaktapur,PM1,2019-06-20T11:49:00Z,3.4
Bhaktapur,PM1,2019-06-20T11:59:00Z,3.2
Bhaktapur,PM1,2019-06-20T12:09:00Z,3.3
Bhaktapur,PM1,2019-06-20T12:19:00Z,2.8
Bhaktapur,PM1,2019-06-20T12:29:00Z,3.6
Bhaktapur,PM1,2019-06-20T12:39:00Z,3.9
Bhaktapur,PM1,2019-06-20T12:49:00Z,4.4
Bhaktapur,PM1,2019-06-20T12:59:00Z,5.1
Bhaktapur,PM1,2019-06-20T13:09:00Z,4.6
Bhaktapur,PM1,2019-06-20T13:19:00Z,4.5
Bhaktapur,PM1,2019-06-20T13:29:00Z,4.4
Bhaktapur,PM1,2019-06-20T13:49:00Z,5.5
Bhaktapur,PM1,2019-06-20T13:59:00Z,6.2
Bhaktapur,PM1,2019-06-20T14:09:00Z,5.7
Bhaktapur,PM1,2019-06-20T14:19:00Z,5.8
Bhaktapur,PM1,2019-06-20T14:29:00Z,6.0
Bhaktapur,PM1,2019-06-20T14:49:00Z,6.8
Bhaktapur,PM1,2019-06-20T14:59:00Z,6.3
Bhaktapur,PM1,2019-06-20T15:09:00Z,6.0
Bhaktapur,PM1,2019-06-20T15:24:00Z,6.2
Bhaktapur,PM1,2019-06-20T15:39:00Z,5.9
Bhaktapur,PM1,2019-06-20T15:59:00Z,5.5
Bhaktapur,PM1,2019-06-20T16:19:00Z,5.6
Bhaktapur,PM1,2019-06-20T16:29:00Z,6.5
Bhaktapur,PM1,2019-06-20T16:49:00Z,7.9
Bhaktapur,PM1,2019-06-20T16:59:00Z,8.2
Bhaktapur,PM1,2019-06-20T17:09:00Z,7.7
Bhaktapur,PM1,2019-06-20T17:19:00Z,7.3
Bhaktapur,PM1,2019-06-20T17:49:00Z,7.2
Bhaktapur,PM1,2019-06-20T17:59:00Z,7.0
Bhaktapur,PM1,2019-06-20T18:09:00Z,7.4
Bhaktapur,PM1,2019-06-20T18:19:00Z,7.9
Bhaktapur,PM1,2019-06-20T18:39:00Z,7.4
Bhaktapur,PM1,2019-06-20T18:49:00Z,7.9
Bhaktapur,PM1,2019-06-20T18:59:00Z,8.6
Bhaktapur,PM1,2019-06-20T19:09:00Z,8.4
Bhaktapur,PM1,2019-06-20T19:19:00Z,7.8
Bhaktapur,PM1,2019-06-20T19:49:00Z,7.0
Bhaktapur,PM1,2019-06-20T19:54:00Z,6.7
Bhaktapur,PM1,2019-06-20T20:09:00Z,6.8
Bhaktapur,PM1,2019-06-20T20:19:00Z,6.5
Bhaktapur,PM1,2019-06-20T20:29:00Z,6.9
Bhaktapur,PM1,2019-06-20T20:39:00Z,7.1
