station,particulate_matter ,datetime,value
Dhankuta,PM1,2019-07-14T07:38:00Z,8.4
Dhankuta,PM2.5,2020-01-04T10:45:41Z,20.7
Dhankuta,PM2.5,2020-01-04T10:55:27Z,19.7
Dhankuta,PM2.5,2020-01-04T11:00:23Z,20.1
Dhankuta,PM2.5,2020-01-04T11:15:25Z,27.3
Dhankuta,PM2.5,2020-01-04T11:25:56Z,25.8
Dhankuta,PM2.5,2020-01-04T11:35:35Z,29.4
Dhankuta,PM2.5,2020-01-04T11:45:56Z,25.9
Dhankuta,PM2.5,2020-01-04T11:55:46Z,43.3
Dhankuta,PM2.5,2020-01-04T12:05:51Z,25.4
Dhankuta,PM2.5,2020-01-04T12:15:49Z,34.1
Dhankuta,PM2.5,2020-01-04T12:25:50Z,37.2
Dhankuta,PM2.5,2020-01-04T12:40:25Z,34.7
Dhankuta,PM2.5,2020-01-04T12:45:25Z,28.5
Dhankuta,PM2.5,2020-01-04T12:55:26Z,31.4
Dhankuta,PM2.5,2020-01-04T13:06:26Z,116.5
Dhankuta,PM2.5,2020-01-04T13:15:55Z,63.6
Dhankuta,PM2.5,2020-01-04T13:30:58Z,61.7
Dhankuta,PM2.5,2020-01-04T13:35:24Z,65.8
Dhankuta,PM2.5,2020-01-04T13:45:24Z,37.8
Dhankuta,PM2.5,2020-01-04T13:55:24Z,51.3
Dhankuta,PM2.5,2020-01-04T14:05:52Z,29.8
Dhankuta,PM2.5,2020-01-04T14:15:49Z,36.2
Dhankuta,PM2.5,2020-01-04T14:25:53Z,18.9
Dhankuta,PM2.5,2020-01-04T14:35:23Z,18.6
Dhankuta,PM2.5,2020-01-04T14:50:47Z,21.8
Dhankuta,PM2.5,2020-01-04T15:00:56Z,24.5
Dhankuta,PM2.5,2020-01-04T15:05:21Z,24.2
Dhankuta,PM2.5,2020-01-04T15:15:23Z,19.2
Dhankuta,PM2.5,2020-01-04T15:25:50Z,19.6
Dhankuta,PM2.5,2020-01-04T15:35:56Z,19.8
Dhankuta,PM2.5,2020-01-04T15:50:56Z,18.7
Dhankuta,PM2.5,2020-01-04T15:55:52Z,18.6
Dhankuta,PM2.5,2020-01-04T16:05:48Z,21.0
Dhankuta,PM2.5,2020-01-04T16:15:57Z,21.4
Dhankuta,PM2.5,2020-01-04T16:30:56Z,23.0
Dhankuta,PM2.5,2020-01-04T16:40:22Z,24.2
Dhankuta,PM2.5,2020-01-04T16:45:44Z,23.0
Dhankuta,PM2.5,2020-01-04T16:55:43Z,24.9
Dhankuta,PM2.5,2020-01-04T17:05:37Z,25.9
Dhankuta,PM2.5,2020-01-04T17:25:46Z,30.5
Dhankuta,PM2.5,2020-01-04T17:35:28Z,30.9
Dhankuta,PM2.5,2020-01-04T17:45:31Z,31.9
Dhankuta,PM2.5,2020-01-04T17:55:44Z,31.8
Dhankuta,PM2.5,2020-01-04T18:05:29Z,30.9
Dhankuta,PM2.5,2020-01-04T18:15:53Z,32.1
Dhankuta,PM2.5,2020-01-04T18:30:46Z,31.7
Dhankuta,PM2.5,2020-01-04T18:35:38Z,32.3
Dhankuta,PM2.5,2020-01-04T18:50:23Z,32.6
Dhankuta,PM2.5,2020-01-04T18:55:33Z,33.1
Dhankuta,PM2.5,2020-01-04T19:05:39Z,32.7
Dhankuta,PM2.5,2020-01-04T19:15:20Z,33.6
Dhankuta,PM2.5,2020-01-04T19:31:00Z,32.6
Dhankuta,PM2.5,2020-01-04T19:35:48Z,32.0
Dhankuta,PM2.5,2020-01-04T19:50:35Z,30.6
Dhankuta,PM2.5,2020-01-04T20:00:30Z,30.2
