station,particulate_matter ,datetime,value
Dhulikhel,PM1,2019-06-20T09:14:00Z,0.4
Dhulikhel,PM1,2019-06-20T09:24:00Z,0.1
Dhulikhel,PM1,2019-06-20T10:57:00Z,0.2
Dhulikhel,PM1,2019-06-20T11:05:00Z,0.1
Dhulikhel,PM1,2019-06-20T11:24:00Z,0.1
Dhulikhel,PM1,2019-06-20T13:43:00Z,0.2
Dhulikhel,PM1,2019-06-20T13:54:00Z,0.1
Dhulikhel,PM1,2019-06-20T16:44:00Z,0.2
Dhulikhel,PM1,2019-06-20T17:03:00Z,0.1
Dhulikhel,PM1,2019-06-20T17:24:00Z,0.2
Dhulikhel,PM1,2019-06-20T18:45:00Z,0.1
Dhulikhel,PM1,2019-06-20T18:54:00Z,0.2
Dhulikhel,PM1,2019-06-20T19:04:00Z,0.1
Dhulikhel,PM1,2019-06-20T19:24:00Z,0.2
Dhulikhel,PM1,2019-06-20T23:04:00Z,0.3
Dhulikhel,PM1,2019-06-20T23:24:00Z,0.2
Dhulikhel,PM1,2019-06-21T01:34:00Z,0.3
Dhulikhel,PM1,2019-06-21T01:44:00Z,0.2
Dhulikhel,PM1,2019-06-21T02:24:00Z,0.1
Dhulikhel,PM1,2019-06-21T02:35:00Z,0.2
Dhulikhel,PM1,2019-06-21T03:04:00Z,0.1
Dhulikhel,PM1,2019-06-21T03:14:00Z,0.2
Dhulikhel,PM1,2019-06-21T03:35:00Z,0.1
Dhulikhel,PM1,2019-11-12T11:59:26Z,5071.6
Dhulikhel,PM1,2019-11-13T13:04:35Z,45.0
Dhulikhel,PM1,2019-11-13T13:14:37Z,41.0
Dhulikhel,PM1,2019-11-13T13:25:23Z,43.0
Dhulikhel,PM1,2019-11-13T13:33:42Z,44.3
Dhulikhel,PM1,2019-11-13T13:54:34Z,44.7
Dhulikhel,PM1,2019-11-13T14:03:25Z,43.6
Dhulikhel,PM1,2019-11-13T14:14:28Z,43.5
Dhulikhel,PM1,2019-11-13T14:24:46Z,41.6
Dhulikhel,PM1,2019-11-13T14:34:46Z,43.1
Dhulikhel,PM1,2019-11-13T14:45:45Z,41.2
Dhulikhel,PM1,2019-11-13T14:53:40Z,41.3
Dhulikhel,PM1,2019-11-13T15:04:25Z,41.6
Dhulikhel,PM1,2019-11-13T15:13:38Z,39.0
Dhulikhel,PM1,2019-11-13T15:24:41Z,39.1
Dhulikhel,PM1,2019-11-13T15:33:23Z,40.4
Dhulikhel,PM1,2019-11-13T15:44:55Z,39.3
Dhulikhel,PM1,2019-11-13T15:55:42Z,39.8
Dhulikhel,PM1,2019-11-13T16:04:28Z,39.9
Dhulikhel,PM1,2019-11-13T16:15:00Z,41.3
Dhulikhel,PM1,2019-11-13T16:25:50Z,40.1
Dhulikhel,PM1,2019-11-13T16:33:28Z,37.9
Dhulikhel,PM1,2019-11-13T16:44:54Z,37.5
Dhulikhel,PM1,2019-11-13T16:54:29Z,37.0
Dhulikhel,PM1,2019-11-13T17:03:23Z,38.0
Dhulikhel,PM1,2019-11-13T17:13:26Z,36.0
Dhulikhel,PM1,2019-11-13T17:23:55Z,36.9
Dhulikhel,PM1,2019-11-13T17:33:33Z,36.3
Dhulikhel,PM1,2019-11-13T17:44:55Z,35.1
Dhulikhel,PM1,2019-11-13T17:53:41Z,36.0
Dhulikhel,PM1,2019-11-13T18:03:55Z,35.9
Dhulikhel,PM1,2019-11-13T18:14:56Z,33.0
Dhulikhel,PM1,2019-11-13T18:23:23Z,32.0
Dhulikhel,PM1,2019-11-13T18:35:42Z,32.6
Dhulikhel,PM1,2019-11-13T18:54:27Z,31.6
Dhulikhel,PM1,2019-11-13T19:03:56Z,29.0
Dhulikhel,PM1,2019-11-13T19:13:26Z,28.8
Dhulikhel,PM1,2019-11-13T19:25:38Z,28.2
Dhulikhel,PM1,2019-11-13T19:33:33Z,30.5
Dhulikhel,PM1,2019-11-13T19:44:57Z,29.5
Dhulikhel,PM1,2019-11-13T19:53:55Z,30.7
