station,particulate_matter ,datetime,value
Bhaisipati,PM1,2019-06-20T08:58:00Z,3.7
Bhaisipati,PM1,2019-06-20T09:08:00Z,3.6
Bhaisipati,PM1,2019-06-20T09:18:00Z,3.5
Bhaisipati,PM1,2019-06-20T09:38:00Z,3.8
Bhaisipati,PM1,2019-06-20T09:48:00Z,4.1
Bhaisipati,PM1,2019-06-20T09:58:00Z,3.4
Bhaisipati,PM1,2019-06-20T10:08:00Z,3.3
Bhaisipati,PM1,2019-06-20T10:18:00Z,3.4
Bhaisipati,PM1,2019-06-20T10:28:00Z,3.3
Bhaisipati,PM1,2019-06-20T10:38:00Z,3.6
Bhaisipati,PM1,2019-06-20T10:48:00Z,3.3
Bhaisipati,PM1,2019-06-20T10:58:00Z,3.4
Bhaisipati,PM1,2019-06-20T11:08:00Z,3.3
Bhaisipati,PM1,2019-06-20T11:18:00Z,3.2
Bhaisipati,PM1,2019-06-20T11:28:00Z,3.6
Bhaisipati,PM1,2019-06-20T11:38:00Z,3.5
Bhaisipati,PM1,2019-06-20T11:48:00Z,3.9
Bhaisipati,PM1,2019-06-20T11:56:00Z,4.2
Bhaisipati,PM1,2019-06-20T12:08:00Z,4.5
Bhaisipati,PM1,2019-06-20T12:18:00Z,4.3
Bhaisipati,PM1,2019-06-20T12:36:00Z,4.5
Bhaisipati,PM1,2019-06-20T12:48:00Z,4.4
Bhaisipati,PM1,2019-06-20T12:58:00Z,5.0
Bhaisipati,PM1,2019-06-20T13:08:00Z,4.6
Bhaisipati,PM1,2019-06-20T13:18:00Z,5.6
Bhaisipati,PM1,2019-06-20T13:28:00Z,5.4
Bhaisipati,PM1,2019-06-20T13:38:00Z,6.3
Bhaisipati,PM1,2019-06-20T13:48:00Z,5.2
Bhaisipati,PM1,2019-06-20T13:58:00Z,5.3
Bhaisipati,PM1,2019-06-20T14:08:00Z,5.1
Bhaisipati,PM1,2019-06-20T14:28:00Z,5.2
Bhaisipati,PM1,2019-06-20T14:38:00Z,4.9
Bhaisipati,PM1,2019-06-20T14:48:00Z,5.3
Bhaisipati,PM1,2019-06-20T15:03:00Z,5.2
Bhaisipati,PM1,2019-06-20T15:26:00Z,5.6
Bhaisipati,PM1,2019-06-20T15:38:00Z,5.9
Bhaisipati,PM1,2019-06-20T15:48:00Z,5.5
Bhaisipati,PM1,2019-06-20T15:58:00Z,5.6
Bhaisipati,PM1,2019-06-20T16:06:00Z,5.7
Bhaisipati,PM1,2019-06-20T16:18:00Z,5.4
Bhaisipati,PM1,2019-06-20T16:38:00Z,5.9
Bhaisipati,PM1,2019-06-20T16:48:00Z,6.0
Bhaisipati,PM1,2019-06-20T16:58:00Z,6.7
Bhaisipati,PM1,2019-06-20T17:06:00Z,6.4
Bhaisipati,PM1,2019-06-20T17:18:00Z,5.8
Bhaisipati,PM1,2019-06-20T17:28:00Z,5.9
Bhaisipati,PM1,2019-06-20T17:48:00Z,5.8
Bhaisipati,PM1,2019-06-20T17:58:00Z,5.6
Bhaisipati,PM1,2019-06-20T18:08:00Z,5.9
Bhaisipati,PM1,2019-06-20T18:16:00Z,6.0
Bhaisipati,PM1,2019-06-20T18:28:00Z,5.9
Bhaisipati,PM1,2019-06-20T18:48:00Z,6.0
Bhaisipati,PM1,2019-06-20T19:08:00Z,6.1
Bhaisipati,PM1,2019-06-20T19:18:00Z,6.2
Bhaisipati,PM1,2019-06-20T19:36:00Z,6.3
Bhaisipati,PM1,2019-06-20T20:18:00Z,6.1
Bhaisipati,PM1,2019-06-20T20:28:00Z,6.3
Bhaisipati,PM1,2019-06-20T20:38:00Z,6.7
Bhaisipati,PM1,2019-06-20T20:48:00Z,6.8
Bhaisipati,PM1,2019-06-20T20:56:00Z,6.4
Bhaisipati,PM1,2019-06-20T21:08:00Z,6.5
Bhaisipati,PM1,2019-06-20T21:16:00Z,6.3
Bhaisipati,PM1,2019-06-20T21:28:00Z,6.0
Bhaisipati,PM1,2019-06-20T21:38:00Z,6.3
Bhaisipati,PM1,2019-06-20T21:48:00Z,6.1
Bhaisipati,PM1,2019-06-20T21:58:00Z,6.3
Bhaisipati,PM1,2019-06-20T22:18:00Z,6.2
Bhaisipati,PM1,2019-06-20T22:28:00Z,6.1
Bhaisipati,PM1,2019-06-20T22:38:00Z,6.4
Bhaisipati,PM1,2019-06-20T22:56:00Z,6.7
Bhaisipati,PM1,2019-06-20T23:08:00Z,6.5
Bhaisipati,PM1,2019-06-20T23:18:00Z,6.8
Bhaisipati,PM1,2019-06-20T23:28:00Z,7.3
Bhaisipati,PM1,2019-06-20T23:38:00Z,7.4
Bhaisipati,PM1,2019-06-20T23:48:00Z,8.0
Bhaisipati,PM1,2019-06-21T00:08:00Z,7.8
Bhaisipati,PM1,2019-06-21T00:18:00Z,7.7
Bhaisipati,PM1,2019-06-21T00:28:00Z,8.8
Bhaisipati,PM1,2019-06-21T00:38:00Z,7.6
Bhaisipati,PM1,2019-06-21T00:48:00Z,16.4
Bhaisipati,PM1,2019-06-21T00:58:00Z,12.1
Bhaisipati,PM1,2019-06-21T01:08:00Z,10.5
Bhaisipati,PM1,2019-06-21T01:28:00Z,7.6
Bhaisipati,PM1,2019-06-21T01:38:00Z,7.7
Bhaisipati,PM1,2019-06-21T01:48:00Z,7.5
Bhaisipati,PM1,2019-06-21T01:58:00Z,6.4
Bhaisipati,PM1,2019-06-21T02:08:00Z,5.7
Bhaisipati,PM1,2019-06-21T02:18:00Z,5.6
Bhaisipati,PM1,2019-06-21T02:28:00Z,4.6
Bhaisipati,PM1,2019-06-21T02:38:00Z,4.5
Bhaisipati,PM1,2019-06-21T02:48:00Z,5.5
Bhaisipati,PM1,2019-06-21T03:08:00Z,5.0
Bhaisipati,PM1,2019-06-21T03:18:00Z,3.9
Bhaisipati,PM1,2019-06-21T03:28:00Z,4.1
Bhaisipati,PM1,2019-06-21T03:38:00Z,3.6
Bhaisipati,PM1,2019-06-21T03:48:00Z,4.6
Bhaisipati,PM1,2019-06-21T03:56:00Z,4.1
Bhaisipati,PM1,2019-06-21T04:08:00Z,4.4
Bhaisipati,PM1,2019-06-21T04:18:00Z,4.9
Bhaisipati,PM1,2019-06-21T04:28:00Z,5.1
Bhaisipati,PM1,2019-06-21T04:38:00Z,4.6
Bhaisipati,PM1,2019-06-21T04:48:00Z,3.8
Bhaisipati,PM1,2019-06-21T04:58:00Z,4.2
Bhaisipati,PM1,2019-06-21T05:08:00Z,3.9
Bhaisipati,PM1,2019-06-21T05:18:00Z,3.3
Bhaisipati,PM1,2019-06-21T05:28:00Z,4.0
Bhaisipati,PM1,2019-06-21T05:38:00Z,3.9
Bhaisipati,PM1,2019-06-21T05:48:00Z,4.2
Bhaisipati,PM1,2019-06-21T05:58:00Z,4.4
Bhaisipati,PM1,2019-06-21T06:08:00Z,4.1
Bhaisipati,PM1,2019-06-21T06:18:00Z,3.7
Bhaisipati,PM1,2019-06-21T06:36:00Z,3.3
Bhaisipati,PM1,2019-06-21T06:48:00Z,3.5
Bhaisipati,PM1,2019-06-21T06:58:00Z,3.4
Bhaisipati,PM1,2019-06-21T07:08:00Z,3.5
Bhaisipati,PM1,2019-06-21T07:18:00Z,4.2
Bhaisipati,PM1,2019-06-21T07:28:00Z,4.1
Bhaisipati,PM1,2019-06-21T07:38:00Z,3.8
Bhaisipati,PM1,2019-06-21T07:48:00Z,3.7
Bhaisipati,PM1,2019-06-21T08:08:00Z,3.6
Bhaisipati,PM1,2019-06-21T08:18:00Z,3.8
Bhaisipati,PM1,2019-06-21T08:28:00Z,3.4
Bhaisipati,PM1,2019-06-21T08:38:00Z,3.8
Bhaisipati,PM1,2019-06-21T08:48:00Z,3.9
Bhaisipati,PM1,2019-06-21T09:08:00Z,4.3
Bhaisipati,PM1,2019-06-21T09:18:00Z,4.2
Bhaisipati,PM1,2019-06-21T09:28:00Z,4.0
Bhaisipati,PM1,2019-06-21T09:38:00Z,4.1
Bhaisipati,PM1,2019-06-21T09:46:00Z,4.5
Bhaisipati,PM1,2019-06-21T09:58:00Z,4.2
Bhaisipati,PM1,2019-06-21T10:18:00Z,4.1
Bhaisipati,PM1,2019-06-21T10:28:00Z,4.0
Bhaisipati,PM1,2019-06-21T10:38:00Z,4.4
Bhaisipati,PM1,2019-06-21T10:58:00Z,4.6
Bhaisipati,PM1,2019-06-21T11:08:00Z,4.5
Bhaisipati,PM1,2019-06-21T11:28:00Z,5.4
Bhaisipati,PM1,2019-06-21T11:38:00Z,4.9
Bhaisipati,PM1,2019-06-21T11:58:00Z,4.8
Bhaisipati,PM1,2019-06-21T12:08:00Z,5.0
Bhaisipati,PM1,2019-06-21T12:18:00Z,4.9
Bhaisipati,PM1,2019-06-21T12:28:00Z,5.1
Bhaisipati,PM1,2019-06-21T12:38:00Z,5.3
Bhaisipati,PM1,2019-06-21T12:48:00Z,5.8
Bhaisipati,PM1,2019-06-21T12:58:00Z,5.9
Bhaisipati,PM1,2019-06-21T13:08:00Z,6.2
Bhaisipati,PM1,2019-06-21T13:18:00Z,6.0
Bhaisipati,PM1,2019-06-21T13:28:00Z,6.4
Bhaisipati,PM1,2019-06-21T13:38:00Z,5.3
Bhaisipati,PM1,2019-06-21T13:48:00Z,5.1
Bhaisipati,PM1,2019-06-21T13:58:00Z,5.5
Bhaisipati,PM1,2019-06-21T14:08:00Z,4.3
Bhaisipati,PM1,2019-06-21T14:18:00Z,2.6
Bhaisipati,PM1,2019-06-21T14:28:00Z,1.6
Bhaisipati,PM1,2019-06-21T14:38:00Z,1.8
Bhaisipati,PM1,2019-06-21T14:48:00Z,2.1
Bhaisipati,PM1,2019-06-21T14:58:00Z,1.6
Bhaisipati,PM1,2019-06-21T15:08:00Z,1.7
Bhaisipati,PM1,2019-06-21T15:18:00Z,1.2
Bhaisipati,PM1,2019-06-21T15:28:00Z,1.9
Bhaisipati,PM1,2019-06-21T15:38:00Z,2.3
Bhaisipati,PM1,2019-06-21T15:48:00Z,2.5
Bhaisipati,PM1,2019-06-21T15:58:00Z,2.8
Bhaisipati,PM1,2019-06-21T16:18:00Z,2.7
Bhaisipati,PM1,2019-06-21T17:28:00Z,3.8
Bhaisipati,PM1,2019-06-21T17:36:00Z,3.6
Bhaisipati,PM1,2019-06-21T17:48:00Z,4.0
Bhaisipati,PM1,2019-06-21T17:58:00Z,4.3
Bhaisipati,PM1,2019-06-21T18:08:00Z,4.2
Bhaisipati,PM1,2019-06-21T18:18:00Z,4.1
Bhaisipati,PM1,2019-06-21T18:38:00Z,4.2
Bhaisipati,PM1,2019-06-21T18:48:00Z,4.4
Bhaisipati,PM1,2019-06-21T18:58:00Z,4.2
Bhaisipati,PM1,2019-06-21T19:08:00Z,4.0
Bhaisipati,PM1,2019-06-21T19:18:00Z,4.5
Bhaisipati,PM1,2019-06-21T19:38:00Z,4.6
Bhaisipati,PM1,2019-06-21T19:58:00Z,4.8
Bhaisipati,PM1,2019-06-21T20:06:00Z,5.2
Bhaisipati,PM1,2019-06-21T20:18:00Z,5.0
Bhaisipati,PM1,2019-06-21T20:28:00Z,5.1
Bhaisipati,PM1,2019-06-21T20:38:00Z,5.6
Bhaisipati,PM1,2019-06-21T20:46:00Z,5.3
Bhaisipati,PM1,2019-06-21T20:58:00Z,5.4
Bhaisipati,PM1,2019-06-21T21:06:00Z,5.3
Bhaisipati,PM1,2019-06-21T21:28:00Z,5.1
Bhaisipati,PM1,2019-06-21T21:38:00Z,5.0
Bhaisipati,PM1,2019-06-21T21:46:00Z,5.2
Bhaisipati,PM1,2019-06-21T21:58:00Z,5.1
Bhaisipati,PM1,2019-06-21T22:18:00Z,5.2
Bhaisipati,PM1,2019-06-21T22:28:00Z,5.3
Bhaisipati,PM1,2019-06-21T22:48:00Z,5.9
Bhaisipati,PM1,2019-06-21T22:58:00Z,5.7
Bhaisipati,PM1,2019-06-21T23:08:00Z,5.6
Bhaisipati,PM1,2019-06-21T23:18:00Z,6.3
Bhaisipati,PM1,2019-06-21T23:26:00Z,6.4
Bhaisipati,PM1,2019-06-21T23:38:00Z,8.0
Bhaisipati,PM1,2019-06-21T23:48:00Z,7.6
Bhaisipati,PM1,2019-06-22T00:08:00Z,6.2
Bhaisipati,PM1,2019-06-22T00:18:00Z,6.3
Bhaisipati,PM1,2019-06-22T00:48:00Z,6.2
Bhaisipati,PM1,2019-06-22T00:58:00Z,6.6
Bhaisipati,PM1,2019-06-22T01:08:00Z,6.4
Bhaisipati,PM1,2019-06-22T01:18:00Z,6.3
Bhaisipati,PM1,2019-06-22T01:28:00Z,7.1
Bhaisipati,PM1,2019-06-22T01:38:00Z,7.0
Bhaisipati,PM1,2019-06-22T01:48:00Z,7.7
Bhaisipati,PM1,2019-06-22T01:58:00Z,8.8
Bhaisipati,PM1,2019-06-22T02:08:00Z,8.0
Bhaisipati,PM1,2019-06-22T02:18:00Z,8.3
Bhaisipati,PM1,2019-06-22T02:38:00Z,8.0
Bhaisipati,PM1,2019-06-22T02:58:00Z,7.6
Bhaisipati,PM1,2019-06-22T03:06:00Z,7.9
Bhaisipati,PM1,2019-06-22T03:18:00Z,8.7
Bhaisipati,PM1,2019-06-22T03:28:00Z,8.0
Bhaisipati,PM1,2019-06-22T03:38:00Z,8.8
Bhaisipati,PM1,2019-06-22T03:46:00Z,10.2
Bhaisipati,PM1,2019-06-22T03:58:00Z,10.5
Bhaisipati,PM1,2019-06-22T04:06:00Z,12.0
Bhaisipati,PM1,2019-06-22T04:18:00Z,9.0
Bhaisipati,PM1,2019-06-22T04:28:00Z,8.2
Bhaisipati,PM1,2019-06-22T04:38:00Z,8.0
Bhaisipati,PM1,2019-06-22T04:46:00Z,7.7
Bhaisipati,PM1,2019-06-22T04:58:00Z,7.1
Bhaisipati,PM1,2019-06-22T05:06:00Z,7.7
Bhaisipati,PM1,2019-06-22T05:28:00Z,7.0
Bhaisipati,PM1,2019-06-22T05:38:00Z,6.6
Bhaisipati,PM1,2019-06-22T05:48:00Z,7.2
Bhaisipati,PM1,2019-06-22T05:58:00Z,8.4
Bhaisipati,PM1,2019-06-22T06:08:00Z,8.5
Bhaisipati,PM1,2019-06-22T06:18:00Z,8.4
Bhaisipati,PM1,2019-06-22T06:28:00Z,9.2
Bhaisipati,PM1,2019-06-22T06:38:00Z,9.1
Bhaisipati,PM1,2019-06-22T06:48:00Z,9.6
Bhaisipati,PM1,2019-06-22T06:58:00Z,9.5
Bhaisipati,PM1,2019-06-22T07:08:00Z,7.9
Bhaisipati,PM1,2019-06-22T07:28:00Z,8.8
Bhaisipati,PM1,2019-06-22T07:38:00Z,6.5
Bhaisipati,PM1,2019-06-22T07:48:00Z,5.7
