station,particulate_matter ,datetime,value
Lumbini,PM1,2019-06-20T08:58:00Z,0.2
Lumbini,PM1,2019-06-20T09:05:00Z,0.1
Lumbini,PM1,2019-06-20T09:13:00Z,0.2
Lumbini,PM1,2019-06-20T09:27:00Z,0.1
Lumbini,PM1,2019-06-20T11:09:00Z,0.1
Lumbini,PM1,2019-06-20T11:17:00Z,0.2
Lumbini,PM1,2019-06-20T12:22:00Z,0.1
Lumbini,PM1,2019-06-20T12:37:00Z,0.2
Lumbini,PM1,2019-06-20T13:14:00Z,0.1
Lumbini,PM1,2019-06-20T13:36:00Z,0.2
Lumbini,PM1,2019-06-20T13:57:00Z,0.1
Lumbini,PM1,2019-06-20T14:04:00Z,0.2
Lumbini,PM1,2019-06-20T15:46:00Z,0.3
Lumbini,PM1,2019-06-20T16:28:00Z,0.4
Lumbini,PM1,2019-06-20T16:42:00Z,0.3
Lumbini,PM1,2019-06-20T16:56:00Z,0.4
Lumbini,PM1,2019-06-20T17:19:00Z,0.5
Lumbini,PM1,2019-06-20T18:35:00Z,0.6
Lumbini,PM1,2019-06-20T19:17:00Z,0.7
Lumbini,PM1,2019-06-20T20:02:00Z,0.6
Lumbini,PM1,2019-06-20T20:24:00Z,0.8
Lumbini,PM1,2019-06-20T20:31:00Z,0.9
Lumbini,PM1,2019-06-20T20:46:00Z,0.6
Lumbini,PM1,2019-06-20T21:00:00Z,0.5
Lumbini,PM1,2019-06-20T21:38:00Z,0.4
Lumbini,PM1,2019-06-20T21:44:00Z,0.3
Lumbini,PM1,2019-06-20T22:00:00Z,0.6
Lumbini,PM1,2019-06-20T22:06:00Z,0.3
Lumbini,PM1,2019-06-20T22:28:00Z,0.4
Lumbini,PM1,2019-06-20T22:48:00Z,0.2
Lumbini,PM1,2019-06-20T22:57:00Z,0.3
Lumbini,PM1,2019-06-20T23:25:00Z,0.5
Lumbini,PM1,2019-06-20T23:39:00Z,0.6
Lumbini,PM1,2019-06-20T23:46:00Z,0.5
Lumbini,PM1,2019-06-20T23:53:00Z,0.4
Lumbini,PM1,2019-06-21T00:53:00Z,0.3
Lumbini,PM1,2019-06-21T01:08:00Z,0.2
Lumbini,PM1,2019-06-21T01:29:00Z,0.3
Lumbini,PM1,2019-06-21T01:58:00Z,0.2
Lumbini,PM1,2019-06-21T02:34:00Z,0.1
Lumbini,PM1,2019-06-21T05:59:00Z,0.1
Lumbini,PM1,2019-06-21T12:05:00Z,0.1
Lumbini,PM1,2019-06-21T13:05:00Z,0.1
Lumbini,PM1,2019-06-21T13:55:00Z,0.1
Lumbini,PM1,2019-06-21T14:18:00Z,0.1
Lumbini,PM1,2019-06-21T14:55:00Z,0.1
Lumbini,PM1,2019-06-21T18:43:00Z,0.1
Lumbini,PM1,2019-06-21T20:06:00Z,0.1
Lumbini,PM1,2019-06-21T21:58:00Z,0.2
Lumbini,PM1,2019-06-21T22:05:00Z,0.1
Lumbini,PM1,2019-06-21T22:34:00Z,0.2
Lumbini,PM1,2019-06-21T23:18:00Z,0.3
Lumbini,PM1,2019-06-22T00:18:00Z,0.5
Lumbini,PM1,2019-06-22T00:37:00Z,0.8
Lumbini,PM1,2019-06-22T00:44:00Z,1.1
