date,station,latitude,longitude,aqi,pm2_5,pm10,no2,so2,o3,temperature_C,relative_humidity_%,notes
2024-01-01,Kathmandu,27.7172,85.324,162,75.9,161.5,18.5,8.0,16.2,20.9,65.2,
2024-01-01,Lalitpur,27.6648,85.3188,157,66.9,105.9,18.2,4.2,34.1,28.8,76.2,
2024-01-01,Bhaktapur,27.6714,85.427,166,84.8,182.9,16.4,7.1,26.7,20.3,60.9,
2024-01-01,Pokhara,28.2096,83.9856,79,25.5,47.8,2.0,1.0,31.7,23.0,47.9,
2024-01-01,Biratnagar,26.4525,87.2718,146,53.8,86.3,17.2,1.9,34.5,23.9,54.1,
2024-01-01,Nepalgunj,28.0582,81.6176,120,43.4,97.6,23.4,1.0,28.7,25.4,40.4,
2024-01-01,Bharatpur,27.6838,84.4328,114,40.8,91.2,19.0,4.9,31.0,22.6,53.8,
2024-01-01,Dhangadhi,28.707,80.5912,103,36.5,96.8,14.8,3.1,35.9,16.6,52.4,
2024-01-01,Janakpur,26.706,85.9246,144,52.8,113.6,2.0,4.9,34.4,19.8,39.9,
2024-01-01,Butwal,27.7,83.45,89,30.0,84.1,5.9,6.0,45.3,19.2,37.0,
2024-01-01,Dharan,26.8125,87.2835,96,33.7,68.0,16.9,1.0,39.6,23.7,46.0,
2024-01-01,Hetauda,27.4163,85.0306,151,55.6,103.3,7.7,4.2,20.2,22.3,81.2,
2024-01-01,Birgunj,27.0,84.8667,149,55.1,111.8,24.6,2.1,34.2,25.9,41.2,
2024-01-01,Jumla,29.2741,82.1855,88,29.9,66.0,8.0,6.5,19.8,19.3,43.4,
2024-01-01,Illam,26.8901,87.9204,95,32.8,79.3,14.9,3.9,42.3,18.5,38.0,
2024-01-02,Kathmandu,27.7172,85.324,161,75.8,120.0,23.9,4.0,54.3,26.9,45.8,
2024-01-02,Lalitpur,27.6648,85.3188,157,67.2,160.5,25.3,4.6,42.1,27.0,47.1,
2024-01-02,Bhaktapur,27.6714,85.427,163,78.0,179.0,10.7,3.2,39.5,24.0,43.6,
2024-01-02,Pokhara,28.2096,83.9856,171,95.1,238.7,2.0,3.7,30.7,24.7,49.7,High pollution event
2024-01-02,Biratnagar,26.4525,87.2718,146,53.9,76.6,32.0,5.2,28.7,22.9,43.4,
2024-01-02,Nepalgunj,28.0582,81.6176,104,36.7,81.3,2.0,4.2,34.2,24.4,33.9,
2024-01-02,Bharatpur,27.6838,84.4328,112,40.0,94.9,2.4,2.9,30.0,14.4,50.3,
2024-01-02,Dhangadhi,28.707,80.5912,124,44.8,109.3,9.7,2.8,38.3,21.5,53.6,
2024-01-02,Janakpur,26.706,85.9246,135,49.2,77.4,9.7,5.0,32.7,18.6,57.3,
2024-01-02,Butwal,27.7,83.45,149,55.1,87.5,10.5,3.5,38.1,15.1,42.4,
2024-01-02,Dharan,26.8125,87.2835,87,29.2,40.8,3.9,1.0,45.7,22.0,23.6,
2024-01-02,Hetauda,27.4163,85.0306,137,50.3,102.9,12.3,4.2,37.3,22.0,45.9,
2024-01-02,Birgunj,27.0,84.8667,155,62.3,97.3,22.3,4.9,37.0,21.4,60.7,
2024-01-02,Jumla,29.2741,82.1855,121,43.7,98.0,2.4,4.8,26.4,13.6,51.7,
2024-01-02,Illam,26.8901,87.9204,105,37.1,75.9,10.0,4.4,37.7,15.1,34.8,
2024-01-03,Kathmandu,27.7172,85.324,167,86.4,186.7,18.7,6.9,27.4,17.7,41.8,
2024-01-03,Lalitpur,27.6648,85.3188,166,84.3,211.7,26.2,2.5,45.4,20.7,36.8,
2024-01-03,Bhaktapur,27.6714,85.427,165,82.9,185.0,21.5,5.9,33.7,21.6,40.5,
2024-01-03,Pokhara,28.2096,83.9856,95,32.9,74.6,2.0,4.0,28.9,18.4,39.2,
2024-01-03,Biratnagar,26.4525,87.2718,152,57.0,125.0,25.3,5.5,24.8,23.8,59.8,
2024-01-03,Nepalgunj,28.0582,81.6176,134,48.9,124.2,8.9,1.7,27.6,20.9,54.5,
2024-01-03,Bharatpur,27.6838,84.4328,127,46.1,95.8,13.5,4.8,42.2,20.0,28.9,
2024-01-03,Dhangadhi,28.707,80.5912,127,45.9,68.8,7.6,2.7,48.7,21.4,48.1,
2024-01-03,Janakpur,26.706,85.9246,146,53.7,119.5,2.0,1.5,41.6,20.1,31.8,
2024-01-03,Butwal,27.7,83.45,142,52.3,84.0,3.7,3.1,48.2,21.1,48.9,
2024-01-03,Dharan,26.8125,87.2835,99,35.0,95.4,20.4,1.2,24.4,18.8,47.6,
2024-01-03,Hetauda,27.4163,85.0306,125,45.2,86.2,5.1,1.0,24.0,23.3,46.1,
2024-01-03,Birgunj,27.0,84.8667,152,56.8,77.0,20.2,7.1,42.1,23.0,49.3,
2024-01-03,Jumla,29.2741,82.1855,93,32.1,67.8,15.5,4.3,31.5,20.1,48.3,
2024-01-03,Illam,26.8901,87.9204,71,21.6,42.2,10.7,2.3,36.0,20.1,65.6,
2024-01-04,Kathmandu,27.7172,85.324,169,91.1,131.1,11.2,6.6,32.6,23.6,38.3,
2024-01-04,Lalitpur,27.6648,85.3188,160,72.5,123.9,28.4,4.4,13.1,22.3,56.3,
2024-01-04,Bhaktapur,27.6714,85.427,161,74.9,171.9,14.3,2.7,56.8,22.2,58.0,
2024-01-04,Pokhara,28.2096,83.9856,146,53.9,137.4,9.0,2.6,30.2,19.4,61.2,
2024-01-04,Biratnagar,26.4525,87.2718,132,48.1,69.4,23.0,5.3,33.8,19.8,46.1,
2024-01-04,Nepalgunj,28.0582,81.6176,151,56.0,97.4,25.5,6.1,30.1,24.8,56.2,
2024-01-04,Bharatpur,27.6838,84.4328,136,49.7,103.1,16.5,3.1,26.2,19.4,53.5,
2024-01-04,Dhangadhi,28.707,80.5912,120,43.2,82.6,14.5,1.0,47.6,20.9,43.6,
2024-01-04,Janakpur,26.706,85.9246,135,49.5,102.0,7.6,1.0,29.2,20.5,55.8,
2024-01-04,Butwal,27.7,83.45,123,44.4,111.8,10.3,3.2,43.6,23.1,68.4,
2024-01-04,Dharan,26.8125,87.2835,124,44.7,72.1,10.5,2.6,23.6,14.7,33.9,
