station,particulate_matter ,datetime,value
Simara,PM1,2019-08-03T07:07:39Z,105.7
Simara,PM1,2019-08-03T07:18:37Z,32.6
Simara,PM1,2019-08-03T07:27:34Z,25.6
Simara,PM1,2019-08-03T07:37:46Z,20.5
Simara,PM1,2019-08-03T07:47:28Z,16.3
Simara,PM1,2019-08-03T07:57:22Z,14.2
Simara,PM1,2019-08-03T08:07:54Z,11.8
Simara,PM1,2019-08-03T08:27:26Z,9.3
Simara,PM1,2019-08-03T08:37:44Z,8.7
Simara,PM1,2019-08-03T08:47:51Z,8.3
Simara,PM1,2019-08-03T08:57:53Z,7.5
Simara,PM1,2019-08-03T09:07:58Z,7.1
Simara,PM1,2019-08-03T09:17:51Z,6.7
Simara,PM1,2019-08-03T09:27:23Z,6.3
Simara,PM1,2019-08-03T09:37:39Z,6.1
Simara,PM1,2019-08-03T09:47:29Z,6.0
Simara,PM1,2019-08-03T09:57:22Z,5.8
Simara,PM1,2019-08-03T10:07:23Z,6.0
Simara,PM1,2019-08-03T10:17:34Z,5.7
Simara,PM1,2019-08-03T10:27:34Z,5.9
Simara,PM1,2019-08-03T10:37:58Z,6.3
Simara,PM1,2019-08-03T10:47:32Z,6.4
Simara,PM1,2019-08-03T10:57:32Z,6.7
Simara,PM1,2019-08-03T11:07:28Z,6.8
Simara,PM1,2019-08-03T11:12:29Z,6.6
Simara,PM1,2019-08-03T11:27:57Z,6.0
Simara,PM1,2019-08-03T11:37:24Z,5.8
Simara,PM1,2019-08-03T11:47:22Z,5.5
Simara,PM1,2019-08-03T11:57:48Z,5.2
Simara,PM1,2019-08-03T12:07:55Z,4.7
Simara,PM1,2019-08-03T12:27:23Z,4.4
Simara,PM1,2019-08-03T12:37:21Z,4.2
Simara,PM1,2019-08-03T12:47:39Z,4.0
Simara,PM1,2019-08-03T13:07:29Z,3.9
Simara,PM1,2019-08-03T13:17:22Z,4.0
Simara,PM1,2019-08-03T13:27:32Z,3.8
Simara,PM1,2019-08-03T13:37:50Z,3.9
Simara,PM1,2019-08-03T13:47:54Z,3.7
Simara,PM1,2019-08-03T13:57:36Z,3.8
Simara,PM1,2019-08-03T14:57:55Z,4.0
Simara,PM1,2019-08-03T15:07:42Z,3.9
Simara,PM1,2019-08-03T15:17:27Z,3.8
Simara,PM1,2019-08-03T15:27:40Z,3.9
Simara,PM1,2019-08-03T15:47:46Z,3.8
Simara,PM1,2019-08-03T15:57:32Z,4.0
Simara,PM1,2019-08-03T16:27:35Z,4.1
Simara,PM1,2019-08-03T16:47:45Z,4.2
Simara,PM1,2019-08-03T17:07:31Z,4.4
Simara,PM1,2019-08-03T17:17:26Z,4.5
Simara,PM1,2019-08-03T17:37:56Z,4.8
Simara,PM1,2019-08-03T18:08:23Z,4.6
Simara,PM1,2019-08-03T18:37:24Z,4.5
Simara,PM1,2019-08-03T18:47:27Z,4.2
Simara,PM1,2019-08-03T19:27:23Z,4.1
Simara,PM1,2019-08-03T19:32:46Z,3.8
Simara,PM1,2019-08-03T20:02:52Z,3.7
Simara,PM1,2019-08-03T20:17:56Z,3.6
Simara,PM1,2019-08-03T20:27:26Z,3.7
Simara,PM1,2019-08-03T20:37:26Z,3.5
Simara,PM1,2019-08-03T20:47:26Z,3.4
Simara,PM1,2019-08-03T21:27:43Z,3.3
Simara,PM1,2019-08-03T22:19:32Z,3.4
Simara,PM1,2019-08-03T22:34:38Z,3.3
Simara,PM1,2019-08-03T22:42:42Z,3.2
Simara,PM1,2019-08-03T23:14:31Z,3.4
Simara,PM1,2019-08-03T23:34:38Z,3.5
Simara,PM1,2019-08-04T00:37:37Z,5.9
Simara,PM1,2019-08-04T00:47:28Z,6.1
Simara,PM1,2019-08-04T00:57:23Z,5.7
Simara,PM1,2019-08-04T01:07:58Z,5.0
Simara,PM1,2019-08-04T01:17:53Z,4.6
Simara,PM1,2019-08-04T01:27:23Z,4.4
Simara,PM1,2019-08-04T01:37:51Z,3.8
Simara,PM1,2019-08-04T01:49:34Z,3.6
Simara,PM1,2019-08-04T01:57:25Z,3.4
Simara,PM1,2019-08-04T02:07:37Z,4.5
Simara,PM1,2019-08-04T02:17:23Z,3.1
Simara,PM1,2019-08-04T02:39:33Z,3.4
