station,particulate_matter ,datetime,value
Jhumka,PM1,2019-06-20T08:45:00Z,6.7
Jhumka,PM1,2019-06-20T08:55:00Z,6.5
Jhumka,PM1,2019-06-20T09:05:00Z,6.2
Jhumka,PM1,2019-06-20T09:15:00Z,6.0
Jhumka,PM1,2019-06-20T09:55:00Z,5.7
Jhumka,PM1,2019-06-20T10:15:00Z,5.8
Jhumka,PM1,2019-06-20T10:25:00Z,6.1
Jhumka,PM1,2019-06-20T10:35:00Z,6.6
Jhumka,PM1,2019-06-20T10:45:00Z,6.8
Jhumka,PM1,2019-06-20T10:55:00Z,6.9
Jhumka,PM1,2019-06-20T11:05:00Z,10.6
Jhumka,PM1,2019-06-20T11:15:00Z,15.8
Jhumka,PM1,2019-06-20T11:25:00Z,9.3
Jhumka,PM1,2019-06-20T11:35:00Z,10.6
Jhumka,PM1,2019-06-20T11:45:00Z,10.3
Jhumka,PM1,2019-06-20T11:55:00Z,10.2
Jhumka,PM1,2019-06-20T12:05:00Z,11.5
Jhumka,PM1,2019-06-20T12:15:00Z,24.8
Jhumka,PM1,2019-06-20T12:25:00Z,13.6
Jhumka,PM1,2019-06-20T12:35:00Z,12.0
Jhumka,PM1,2019-06-20T12:45:00Z,23.4
Jhumka,PM1,2019-06-20T12:55:00Z,24.3
Jhumka,PM1,2019-06-20T13:05:00Z,22.4
Jhumka,PM1,2019-06-20T13:15:00Z,20.1
Jhumka,PM1,2019-06-20T13:25:00Z,27.9
Jhumka,PM1,2019-06-20T13:35:00Z,27.5
Jhumka,PM1,2019-06-20T13:45:00Z,35.3
Jhumka,PM1,2019-06-20T13:55:00Z,28.2
Jhumka,PM1,2019-06-20T14:05:00Z,35.5
Jhumka,PM1,2019-06-20T14:15:00Z,33.0
Jhumka,PM1,2019-06-20T14:25:00Z,29.9
Jhumka,PM1,2019-06-20T14:35:00Z,32.6
Jhumka,PM1,2019-06-20T14:45:00Z,32.7
Jhumka,PM1,2019-06-20T14:55:00Z,39.7
Jhumka,PM1,2019-06-20T15:05:00Z,40.5
Jhumka,PM1,2019-06-20T15:25:00Z,33.1
Jhumka,PM1,2019-06-20T15:35:00Z,29.5
Jhumka,PM1,2019-06-20T15:45:00Z,30.9
Jhumka,PM1,2019-06-20T15:55:00Z,29.2
Jhumka,PM1,2019-06-20T16:05:00Z,20.8
Jhumka,PM1,2019-06-20T16:15:00Z,19.5
Jhumka,PM1,2019-06-20T16:25:00Z,18.4
Jhumka,PM1,2019-06-20T16:35:00Z,17.2
Jhumka,PM1,2019-06-20T16:45:00Z,14.9
Jhumka,PM1,2019-06-20T17:05:00Z,15.4
Jhumka,PM1,2019-06-20T17:15:00Z,15.2
Jhumka,PM1,2019-06-20T17:25:00Z,14.2
Jhumka,PM1,2019-06-20T17:35:00Z,13.9
Jhumka,PM1,2019-06-20T17:45:00Z,13.3
Jhumka,PM1,2019-06-20T17:55:00Z,14.0
Jhumka,PM1,2019-06-20T18:05:00Z,13.7
Jhumka,PM1,2019-06-20T18:15:00Z,13.3
Jhumka,PM1,2019-06-20T18:35:00Z,13.5
Jhumka,PM1,2019-06-20T18:45:00Z,14.6
Jhumka,PM1,2019-06-20T18:55:00Z,13.5
Jhumka,PM1,2019-06-20T19:05:00Z,12.8
Jhumka,PM1,2019-06-20T19:15:00Z,12.9
