station,particulate_matter ,datetime,value
Surkhet,PM1,2019-07-15T03:45:00Z,13.9
Surkhet,PM1,2019-07-15T04:03:00Z,13.3
Surkhet,PM1,2019-07-15T05:08:00Z,6.8
Surkhet,PM1,2019-07-15T11:07:00Z,7.9
Surkhet,PM1,2019-07-15T14:58:00Z,12.7
Surkhet,PM1,2019-07-15T15:18:00Z,11.0
Surkhet,PM1,2019-07-15T16:18:00Z,12.3
Surkhet,PM1,2019-07-15T16:28:00Z,13.1
Surkhet,PM1,2019-07-15T16:48:00Z,7.9
Surkhet,PM1,2019-07-15T16:58:00Z,7.2
Surkhet,PM1,2019-07-15T17:08:00Z,7.0
Surkhet,PM1,2019-07-15T17:20:00Z,8.5
Surkhet,PM1,2019-07-16T03:19:00Z,10.6
Surkhet,PM1,2019-07-16T03:49:00Z,9.7
Surkhet,PM1,2019-07-16T03:57:00Z,9.6
Surkhet,PM1,2019-07-16T04:47:00Z,9.1
Surkhet,PM1,2019-07-16T05:57:00Z,12.0
Surkhet,PM1,2019-07-16T06:09:00Z,11.3
Surkhet,PM1,2019-07-16T06:59:00Z,12.3
Surkhet,PM1,2019-07-16T07:09:00Z,11.6
Surkhet,PM1,2019-07-16T07:57:00Z,10.7
Surkhet,PM1,2019-07-16T08:19:00Z,10.5
Surkhet,PM1,2019-07-16T08:39:00Z,9.9
Surkhet,PM1,2019-07-16T08:59:00Z,10.2
Surkhet,PM1,2019-07-16T09:19:00Z,9.4
Surkhet,PM1,2019-07-16T09:27:00Z,8.9
Surkhet,PM1,2019-07-16T09:49:00Z,9.4
Surkhet,PM1,2019-07-16T09:59:00Z,9.0
Surkhet,PM1,2019-07-16T10:19:00Z,8.7
Surkhet,PM1,2019-07-16T10:27:00Z,9.5
Surkhet,PM1,2019-07-16T10:39:00Z,9.4
Surkhet,PM1,2019-07-16T10:59:00Z,9.1
Surkhet,PM1,2019-07-16T14:59:00Z,16.1
Surkhet,PM1,2019-07-16T16:07:00Z,14.1
Surkhet,PM1,2019-07-16T17:07:00Z,13.0
Surkhet,PM1,2019-07-16T18:13:00Z,10.2
Surkhet,PM1,2019-07-17T05:38:00Z,9.2
Surkhet,PM1,2019-07-17T05:59:00Z,8.1
Surkhet,PM1,2019-07-17T06:07:00Z,8.4
Surkhet,PM1,2019-07-17T06:58:00Z,8.1
Surkhet,PM1,2019-07-17T07:07:00Z,8.5
Surkhet,PM1,2019-07-17T07:18:00Z,7.9
Surkhet,PM1,2019-07-17T07:47:00Z,9.0
Surkhet,PM1,2019-07-17T07:50:00Z,9.2
Surkhet,PM1,2019-07-17T08:37:00Z,8.4
Surkhet,PM1,2019-07-17T08:47:00Z,7.7
Surkhet,PM1,2019-07-17T09:18:00Z,7.6
Surkhet,PM1,2019-07-17T09:38:00Z,7.4
Surkhet,PM1,2019-07-17T10:08:00Z,8.2
Surkhet,PM1,2019-07-17T11:18:00Z,7.5
Surkhet,PM1,2019-07-17T11:58:00Z,7.7
Surkhet,PM1,2019-07-17T12:28:00Z,9.5
Surkhet,PM1,2019-07-17T12:58:00Z,15.2
Surkhet,PM1,2019-07-17T13:58:00Z,24.4
Surkhet,PM1,2019-07-17T14:18:00Z,28.1
Surkhet,PM1,2019-07-17T14:28:00Z,25.9
Surkhet,PM1,2019-07-17T14:38:00Z,12.5
Surkhet,PM1,2019-07-17T14:48:00Z,14.0
Surkhet,PM1,2019-07-17T15:18:00Z,13.0
Surkhet,PM1,2019-07-17T16:58:00Z,14.3
Surkhet,PM1,2019-07-17T18:18:00Z,10.7
Surkhet,PM1,2019-07-17T18:58:00Z,10.5
Surkhet,PM1,2019-07-17T19:28:00Z,11.0
Surkhet,PM1,2019-07-17T19:58:00Z,11.1
Surkhet,PM1,2019-07-17T20:58:00Z,11.3
Surkhet,PM1,2019-07-17T21:18:00Z,10.8
Surkhet,PM1,2019-07-17T21:48:00Z,11.1
Surkhet,PM1,2019-07-17T21:58:00Z,11.7
Surkhet,PM1,2019-07-18T00:58:00Z,13.8
Surkhet,PM1,2019-07-18T01:20:00Z,17.8
Surkhet,PM1,2019-07-18T01:38:00Z,19.9
Surkhet,PM1,2019-07-18T01:48:00Z,20.0
Surkhet,PM1,2019-07-18T01:58:00Z,17.5
Surkhet,PM1,2019-07-18T02:08:00Z,15.5
Surkhet,PM1,2019-07-18T02:18:00Z,11.5
Surkhet,PM1,2019-07-18T02:28:00Z,12.6
Surkhet,PM1,2019-07-18T02:38:00Z,10.3
Surkhet,PM1,2019-07-18T02:48:00Z,11.4
Surkhet,PM1,2019-07-18T02:58:00Z,12.1
Surkhet,PM1,2019-07-18T03:08:00Z,10.8
Surkhet,PM1,2019-07-18T03:18:00Z,10.9
Surkhet,PM1,2019-07-18T03:28:00Z,10.5
Surkhet,PM1,2019-07-18T03:38:00Z,9.9
Surkhet,PM1,2019-07-18T03:48:00Z,9.1
Surkhet,PM1,2019-07-18T03:58:00Z,9.7
Surkhet,PM1,2019-07-18T04:08:00Z,8.6
Surkhet,PM1,2019-07-18T04:18:00Z,9.3
Surkhet,PM1,2019-07-18T04:28:00Z,9.0
Surkhet,PM1,2019-07-18T04:38:00Z,8.5
Surkhet,PM1,2019-07-18T04:48:00Z,7.8
Surkhet,PM1,2019-07-18T04:58:00Z,8.5
Surkhet,PM1,2019-07-18T05:08:00Z,7.8
Surkhet,PM1,2019-07-18T05:18:00Z,8.2
Surkhet,PM1,2019-07-18T05:28:00Z,8.4
Surkhet,PM1,2019-07-18T05:38:00Z,7.7
Surkhet,PM1,2019-07-18T05:48:00Z,6.7
Surkhet,PM1,2019-07-18T05:58:00Z,7.2
Surkhet,PM1,2019-07-18T06:08:00Z,7.5
Surkhet,PM1,2019-07-18T06:18:00Z,7.7
Surkhet,PM1,2019-07-18T06:28:00Z,8.0
Surkhet,PM1,2019-07-18T06:38:00Z,8.6
Surkhet,PM1,2019-07-18T06:48:00Z,8.8
Surkhet,PM1,2019-07-18T06:58:00Z,9.1
Surkhet,PM1,2019-07-18T07:08:00Z,8.5
Surkhet,PM1,2019-07-18T07:18:00Z,7.8
Surkhet,PM1,2019-07-18T07:38:00Z,8.6
Surkhet,PM1,2019-07-18T07:48:00Z,9.3
Surkhet,PM1,2019-07-18T07:58:00Z,8.1
Surkhet,PM1,2019-07-18T08:08:00Z,8.7
Surkhet,PM1,2019-07-18T08:18:00Z,8.4
Surkhet,PM1,2019-07-18T08:28:00Z,8.1
Surkhet,PM1,2019-07-18T08:38:00Z,7.8
Surkhet,PM1,2019-07-18T08:48:00Z,7.6
Surkhet,PM1,2019-07-18T08:58:00Z,8.2
Surkhet,PM1,2019-07-18T09:08:00Z,8.0
Surkhet,PM1,2019-07-18T09:18:00Z,7.7
Surkhet,PM1,2019-07-18T09:28:00Z,7.8
Surkhet,PM1,2019-07-18T09:38:00Z,8.3
Surkhet,PM1,2019-07-18T09:48:00Z,8.4
Surkhet,PM1,2019-07-18T09:58:00Z,9.0
Surkhet,PM1,2019-07-18T10:08:00Z,9.2
Surkhet,PM1,2019-07-18T10:18:00Z,9.3
Surkhet,PM1,2019-07-18T10:28:00Z,9.2
Surkhet,PM1,2019-07-18T10:48:00Z,9.4
Surkhet,PM1,2019-07-18T10:58:00Z,9.5
Surkhet,PM1,2019-07-18T11:08:00Z,9.8
Surkhet,PM1,2019-07-18T11:18:00Z,10.7
Surkhet,PM1,2019-07-18T11:38:00Z,9.1
Surkhet,PM1,2019-07-18T11:48:00Z,13.8
Surkhet,PM1,2019-07-18T11:58:00Z,13.3
Surkhet,PM1,2019-07-18T12:08:00Z,13.9
Surkhet,PM1,2019-07-18T12:18:00Z,11.3
Surkhet,PM1,2019-07-18T12:28:00Z,14.7
Surkhet,PM1,2019-07-18T12:38:00Z,58.5
Surkhet,PM1,2019-07-18T12:48:00Z,37.6
Surkhet,PM1,2019-07-18T12:58:00Z,32.2
Surkhet,PM1,2019-07-18T13:08:00Z,28.6
Surkhet,PM1,2019-07-18T13:18:00Z,23.9
Surkhet,PM1,2019-07-18T13:28:00Z,30.7
Surkhet,PM1,2019-07-18T13:38:00Z,55.0
Surkhet,PM1,2019-07-18T13:48:00Z,36.8
Surkhet,PM1,2019-07-18T13:58:00Z,21.3
Surkhet,PM1,2019-07-18T14:08:00Z,28.3
Surkhet,PM1,2019-07-18T14:18:00Z,27.3
Surkhet,PM1,2019-07-18T14:28:00Z,37.0
Surkhet,PM1,2019-07-18T14:38:00Z,41.8
Surkhet,PM1,2019-07-18T14:48:00Z,14.8
Surkhet,PM1,2019-07-18T14:58:00Z,28.0
Surkhet,PM1,2019-07-18T15:08:00Z,14.4
Surkhet,PM1,2019-07-18T15:18:00Z,12.7
Surkhet,PM1,2019-07-18T15:28:00Z,11.9
Surkhet,PM1,2019-07-18T15:38:00Z,14.1
Surkhet,PM1,2019-07-18T15:48:00Z,13.2
Surkhet,PM1,2019-07-18T15:58:00Z,12.1
Surkhet,PM1,2019-07-18T16:08:00Z,12.0
Surkhet,PM1,2019-07-18T16:18:00Z,11.7
Surkhet,PM1,2019-07-18T16:28:00Z,12.1
Surkhet,PM1,2019-07-18T16:38:00Z,11.5
Surkhet,PM1,2019-07-18T16:48:00Z,11.7
Surkhet,PM1,2019-07-18T16:58:00Z,12.1
Surkhet,PM1,2019-07-18T17:18:00Z,11.7
Surkhet,PM1,2019-07-18T17:28:00Z,11.6
Surkhet,PM1,2019-07-18T17:38:00Z,12.0
Surkhet,PM1,2019-07-18T17:48:00Z,11.5
Surkhet,PM1,2019-07-18T17:58:00Z,11.4
Surkhet,PM1,2019-07-18T18:08:00Z,11.9
Surkhet,PM1,2019-07-18T18:18:00Z,11.6
Surkhet,PM1,2019-07-18T18:28:00Z,11.2
Surkhet,PM1,2019-07-18T18:38:00Z,11.5
Surkhet,PM1,2019-07-18T18:48:00Z,11.6
Surkhet,PM1,2019-07-18T18:58:00Z,11.9
Surkhet,PM1,2019-07-18T19:18:00Z,12.3
Surkhet,PM1,2019-07-18T19:28:00Z,12.2
Surkhet,PM1,2019-07-18T19:38:00Z,12.4
Surkhet,PM1,2019-07-18T19:48:00Z,12.0
Surkhet,PM1,2019-07-18T19:58:00Z,12.5
Surkhet,PM1,2019-07-18T20:08:00Z,12.8
Surkhet,PM1,2019-07-18T20:18:00Z,12.6
Surkhet,PM1,2019-07-18T20:28:00Z,11.9
Surkhet,PM1,2019-07-18T20:38:00Z,12.0
Surkhet,PM1,2019-07-18T20:48:00Z,12.1
Surkhet,PM1,2019-07-18T20:58:00Z,12.3
Surkhet,PM1,2019-07-18T21:08:00Z,11.4
Surkhet,PM1,2019-07-18T21:18:00Z,11.3
Surkhet,PM1,2019-07-18T21:48:00Z,11.6
Surkhet,PM1,2019-07-18T21:58:00Z,11.7
Surkhet,PM1,2019-07-18T22:08:00Z,11.5
Surkhet,PM1,2019-07-18T22:18:00Z,11.7
Surkhet,PM1,2019-07-18T22:38:00Z,11.1
Surkhet,PM1,2019-07-18T22:48:00Z,11.5
Surkhet,PM1,2019-07-18T23:08:00Z,11.7
Surkhet,PM1,2019-07-18T23:28:00Z,11.9
Surkhet,PM1,2019-07-18T23:38:00Z,12.0
Surkhet,PM1,2019-07-18T23:48:00Z,12.3
Surkhet,PM1,2019-07-18T23:58:00Z,14.8
Surkhet,PM1,2019-07-19T00:18:00Z,16.9
